site,Date.dd.mm.yyyy.,REFR.440.,REFR.676.,REFR.869.,REFR.1020.,REFI.440.,REFI.676.,REFI.869.,REFI.1020.,SSA676.T,SSA869.T,SSA1020.T,ASYM440.T,ASYM676.T,ASYM869.T,VolCon.F,VolMedianRad.F,StdDev.F,VolCon.C,VolMedianRad.C,StdDev.C,X.sphericity,SSA440.T,ASYM1020.T,X0.05,X0.065604,X0.086077,X0.112939,X0.148184,X0.194429,X0.255105,X0.334716,X0.439173,X0.576227,X0.756052,X0.991996,X1.301571,X1.707757,X2.240702,X2.939966,X3.857452,X5.06126,X6.640745,X8.713145,X11.432287,X15,RadiativeForcing.BOA.,RadiativeForcing.TOA.,ForcingEfficiency.BOA.,ForcingEfficiency.TOA.,sky_error,AOT_1020,AOT_870,AOT_675,AOT_440,Water.cm.
beijing,2002/5/6,1.4312,1.4836,1.5217,1.5322,0.031918,0.018152,0.020271,0.020633,0.8185,0.7938,0.7855,0.699115,0.630496,0.623828,0.067,0.137,0.414,0.119,2.625,0.658,16.6564,0.7771,0.636449,0.000585,0.007919,0.039985,0.07549,0.059947,0.029519,0.01531,0.011037,0.010266,0.010693,0.013187,0.021541,0.03709,0.047505,0.05379,0.068321,0.081006,0.062291,0.027061,0.007785,0.001868,0.000421,-91.4123,-13.58397,-227.25585,-33.77047,1.692578,0.21052,0.24532,0.31741,0.527073,1.538456
beijing,2002/9/8,1.4933,1.5266,1.5521,1.5324,0.025626,0.017584,0.014869,0.012663,0.8345,0.8346,0.8425,0.683039,0.62222,0.612708,0.074,0.146,0.493,0.137,3.085,0.608,12.198187,0.8251,0.632676,0.000672,0.010402,0.047044,0.072129,0.056388,0.035087,0.021854,0.014382,0.010497,0.009389,0.011697,0.019543,0.033169,0.045683,0.057204,0.077103,0.098692,0.089315,0.047983,0.01552,0.003252,0.00046,-111.47158,-20.84789,-228.93996,-42.81734,2.075435,0.217566,0.273242,0.374664,0.6521,2.760707
beijing,2002/9/15,1.5367,1.5345,1.5357,1.5234,0.025131,0.017184,0.015729,0.013707,0.8712,0.858,0.8615,0.695041,0.632985,0.606124,0.055,0.184,0.54,0.061,3.186,0.588,27.244495,0.8583,0.602649,0.000685,0.004458,0.01619,0.033657,0.042978,0.037446,0.026472,0.017448,0.011017,0.0072,0.006392,0.008687,0.014496,0.021991,0.029005,0.036184,0.041356,0.036955,0.022639,0.009095,0.002402,0.000421,-82.07784,-19.7891,-207.06121,-49.92279,1.499307,0.150619,0.198748,0.294118,0.531062,1.684922
beijing,2002/9/16,1.5117,1.5342,1.5482,1.5437,0.027611,0.021541,0.020561,0.019441,0.8396,0.8241,0.8169,0.685308,0.620138,0.598917,0.062,0.165,0.565,0.068,2.987,0.581,14.123276,0.8379,0.600355,0.00091,0.009143,0.031674,0.046535,0.044606,0.035588,0.024177,0.015423,0.010308,0.007637,0.007463,0.011189,0.019888,0.027353,0.032341,0.040536,0.047321,0.039019,0.019941,0.00688,0.001872,0.000438,-94.10151,-19.36328,-230.53618,-47.43745,1.615494,0.169841,0.213947,0.309055,0.547267,1.377797
beijing,2002/9/24,1.4921,1.5304,1.5481,1.542,0.032453,0.022274,0.020799,0.016623,0.8227,0.8114,0.823,0.695616,0.632435,0.619849,0.061,0.155,0.516,0.099,3.056,0.624,8.749618,0.8066,0.626354,0.000643,0.008559,0.034829,0.051583,0.043409,0.031757,0.022826,0.015574,0.010603,0.008396,0.009375,0.014898,0.024787,0.032803,0.040041,0.0545,0.070387,0.062962,0.034009,0.011817,0.002897,0.000523,-100.86543,-16.59105,-244.69531,-40.24919,1.219553,0.186127,0.231952,0.321485,0.539243,1.698089
beijing,2002/9/24,1.4546,1.5033,1.5267,1.5271,0.029748,0.020406,0.019849,0.016645,0.8288,0.8136,0.8208,0.699271,0.628804,0.613818,0.071,0.161,0.564,0.091,3.107,0.575,6.100258,0.8076,0.61895,0.000597,0.008883,0.039638,0.062096,0.051989,0.035123,0.023302,0.016288,0.011857,0.009028,0.008764,0.012934,0.023486,0.034599,0.041698,0.052982,0.064815,0.056284,0.029584,0.01015,0.002609,0.000539,-100.09379,-17.82275,-240.91627,-42.89767,1.385983,0.188967,0.234421,0.325043,0.543704,1.715794
beijing,2002/10/22,1.5286,1.5535,1.5741,1.5866,0.027955,0.021782,0.021636,0.020646,0.8369,0.8155,0.8113,0.677758,0.599387,0.577751,0.056,0.153,0.467,0.071,2.792,0.651,6.224774,0.8408,0.577683,0.000554,0.005783,0.025691,0.051074,0.052218,0.032985,0.017006,0.009769,0.00734,0.007262,0.009277,0.014289,0.021333,0.027016,0.032349,0.039722,0.044448,0.036884,0.020641,0.008013,0.002265,0.000476,-100.62915,-19.76665,-253.48849,-49.79291,2.289215,0.168677,0.20554,0.29576,0.540594,0.751805
beijing,2002/11/9,1.429,1.4754,1.5037,1.5149,0.037578,0.022645,0.023489,0.024268,0.7982,0.7664,0.7453,0.664869,0.58061,0.563781,0.082,0.136,0.471,0.078,3.152,0.651,73.05431,0.7624,0.569628,0.000741,0.014204,0.064122,0.085426,0.058542,0.033347,0.019608,0.01275,0.008864,0.006998,0.007569,0.011874,0.01961,0.025606,0.030667,0.03901,0.049885,0.050231,0.032741,0.013147,0.003312,0.000533,-118.04617,-16.54641,-292.85857,-41.04969,2.19007,0.168946,0.207393,0.298584,0.558842,0.42567
beijing,2002/11/27,1.5053,1.5455,1.5673,1.5715,0.035533,0.021288,0.023373,0.023056,0.8285,0.7915,0.78,0.657537,0.577262,0.562328,0.146,0.145,0.489,0.184,2.86,0.628,97.41289,0.8003,0.56918,0.001747,0.018012,0.091136,0.156194,0.111411,0.061473,0.037797,0.028241,0.020997,0.018056,0.024126,0.039166,0.047685,0.051507,0.070734,0.115576,0.148843,0.104497,0.044009,0.015196,0.004496,0.001028,-209.01777,-36.47428,-221.82449,-38.70909,1.976953,0.397941,0.489448,0.702915,1.293983,0.496589
beijing,2002/11/27,1.4458,1.4947,1.522,1.5333,0.031865,0.019323,0.02183,0.022922,0.8245,0.7848,0.7636,0.66739,0.577886,0.560911,0.148,0.141,0.461,0.162,2.839,0.605,96.083452,0.7955,0.567504,0.001356,0.015489,0.08944,0.175191,0.119763,0.057507,0.033989,0.025441,0.018122,0.013973,0.017232,0.030626,0.045491,0.052168,0.068455,0.10351,0.128617,0.090112,0.036622,0.011325,0.00302,0.000687,-185.89132,-31.84571,-232.06089,-39.75519,2.227732,0.344461,0.419476,0.59915,1.101568,0.499614
beijing,2002/11/27,1.494,1.5403,1.5636,1.5756,0.033905,0.017503,0.020278,0.020148,0.8372,0.7991,0.7896,0.649977,0.577876,0.571445,0.112,0.137,0.498,0.16,3.008,0.631,95.983999,0.7947,0.578418,0.001256,0.021206,0.093027,0.114149,0.071552,0.041011,0.027856,0.020455,0.0143,0.012644,0.017818,0.030581,0.040983,0.046436,0.060304,0.089792,0.119156,0.102944,0.051746,0.01699,0.004255,0.000871,-150.30539,-32.39933,-221.86602,-47.8247,2.262741,0.299244,0.359725,0.508136,0.930295,0.510887
beijing,2002/11/27,1.4695,1.5097,1.5333,1.5428,0.031147,0.018158,0.021598,0.020973,0.8367,0.7925,0.7844,0.660876,0.577843,0.562258,0.141,0.142,0.475,0.152,2.724,0.603,96.897704,0.8071,0.567401,0.001367,0.01792,0.092207,0.15506,0.110397,0.058263,0.034221,0.024988,0.018484,0.014713,0.017677,0.030436,0.045109,0.053119,0.071115,0.103368,0.116348,0.074162,0.029178,0.009444,0.00288,0.000826,-180.4961,-35.11876,-223.36054,-43.45881,2.576971,0.339643,0.417456,0.59854,1.122928,0.502873
beijing,2002/12/10,1.4727,1.516,1.5311,1.5369,0.031016,0.018347,0.016514,0.018383,0.8326,0.8306,0.8158,0.666155,0.612029,0.611796,0.079,0.136,0.49,0.119,2.44,0.734,91.123435,0.7936,0.621268,0.001052,0.018555,0.068108,0.072039,0.047762,0.031886,0.023295,0.019685,0.018693,0.018847,0.021122,0.026436,0.033636,0.041392,0.051892,0.065383,0.07166,0.056123,0.028747,0.009983,0.002499,0.000466,-124.25061,-29.00086,-246.51779,-57.53877,2.6189,0.250645,0.291112,0.390169,0.65758,0.379642
beijing,2002/12/29,1.4461,1.5107,1.5426,1.56,0.030245,0.017833,0.018405,0.020873,0.8535,0.8388,0.8169,0.657715,0.58781,0.570655,0.076,0.148,0.613,0.047,3.1,0.649,89.463071,0.8039,0.566913,0.001507,0.020522,0.06341,0.060402,0.037077,0.026124,0.022943,0.019524,0.013395,0.009327,0.008689,0.010331,0.012954,0.01583,0.019265,0.02382,0.028141,0.027243,0.018627,0.008347,0.002385,0.000431,-98.16567,-26.85136,-263.12952,-71.97411,2.365296,0.17188,0.204254,0.28434,0.488505,0.149066
beijing,2002/12/29,1.5098,1.5538,1.5775,1.5841,0.038994,0.02271,0.021916,0.024379,0.8324,0.822,0.7959,0.648759,0.584686,0.571553,0.085,0.147,0.555,0.079,2.831,0.686,97.476013,0.7853,0.573879,0.000896,0.018182,0.069484,0.07062,0.045289,0.033082,0.028208,0.022632,0.01623,0.013032,0.013618,0.016501,0.020023,0.024859,0.032906,0.043934,0.051151,0.043762,0.025343,0.010241,0.003054,0.000691,-130.63436,-31.02619,-247.78778,-58.85059,2.892725,0.234707,0.283802,0.395847,0.701271,0.187725
