month,type1,%,type2,%,type3,%
1,33.0,91.66666666666667,3.0,8.333333333333334,0.0,0.0
2,66.0,90.41095890410959,7.0,9.58904109589041,0.0,0.0
3,38.0,77.55102040816327,8.0,16.3265306122449,3.0,6.122448979591836
4,25.0,73.52941176470588,6.0,17.647058823529413,3.0,8.823529411764707
5,44.0,68.75,16.0,25.0,4.0,6.25
6,41.0,71.9298245614035,9.0,15.789473684210526,7.0,12.280701754385966
7,2.0,11.11111111111111,5.0,27.77777777777778,11.0,61.111111111111114
8,6.0,22.22222222222222,4.0,14.814814814814815,17.0,62.96296296296296
9,24.0,66.66666666666667,3.0,8.333333333333334,9.0,25.0
10,57.0,86.36363636363636,7.0,10.606060606060606,2.0,3.0303030303030303
11,49.0,100.0,0.0,0.0,0.0,0.0
12,22.0,95.65217391304348,0.0,0.0,1.0,4.3478260869565215
